Neighborhood,OverallQual,AgeBuildind,ExterQual,BsmtQual,TotalBsmtSF,CentralAir,GrLivArea,TotalArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageCars,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No
12,5,51,3,3,1029,1,1339,2368,1,3,6,0,1,0,1,0,0,0,0,0
16,8,1,4,5,1158,1,2376,3534,3,4,9,4,3,0,0,0,1,0,0,0
9,7,77,3,3,637,1,1108,1745,1,4,6,4,1,0,1,0,0,0,0,0
5,8,6,4,4,1777,1,1795,3572,2,4,7,4,2,0,1,0,0,0,0,0
10,5,31,3,4,1040,1,1060,2100,1,3,6,3,2,0,1,0,0,0,0,0
19,5,42,3,3,1060,1,1060,2120,1,4,6,3,1,0,1,0,0,0,0,0
16,8,2,4,4,1566,1,1600,3166,2,4,7,4,3,0,1,0,0,0,0,0
12,5,59,3,3,900,1,900,1800,1,4,5,0,2,0,0,0,0,0,1,0
16,8,3,4,5,1704,1,1704,3408,2,4,7,4,3,0,1,0,0,0,0,0
12,5,49,3,3,1484,1,1600,3084,1,3,6,4,1,0,1,0,0,0,0,0
3,4,81,3,3,520,0,520,1040,1,2,4,0,1,0,0,0,0,0,1,0
9,4,88,3,3,649,0,1317,1966,1,3,6,0,1,0,0,0,0,0,1,0
19,5,42,3,3,1228,1,1228,2456,1,4,6,0,1,0,1,0,0,0,0,0
5,8,1,4,5,1234,1,1234,2468,2,4,7,0,2,0,1,0,0,0,0,0
12,5,51,3,3,1398,1,1700,3098,1,4,6,4,2,0,1,0,0,0,0,0
16,9,2,5,5,1561,1,1561,3122,2,5,6,4,2,0,1,0,0,0,0,0
16,8,2,4,5,1117,1,2452,3569,3,4,9,4,3,0,0,0,1,0,0,0
5,5,15,3,4,1097,1,1097,2194,1,3,6,0,2,0,1,0,0,0,0,0
12,5,55,3,3,1297,1,1297,2594,1,3,5,3,2,0,1,0,0,0,0,0
12,5,57,3,3,1057,1,1057,2114,1,4,5,0,1,0,0,0,0,0,1,0
7,4,53,3,0,0,0,1152,1152,2,2,6,0,0,0,0,0,0,0,0,1
12,6,41,3,3,1088,1,1324,2412,2,3,6,3,2,0,1,0,0,0,0,0
23,5,48,3,3,1350,1,1328,2678,1,3,5,4,1,0,1,0,0,0,0,0
20,5,24,3,4,840,1,884,1724,1,4,5,0,2,0,1,0,0,0,0,0
5,5,33,3,4,938,1,938,1876,1,3,5,0,1,0,0,0,0,0,1,0
12,5,47,3,3,1150,1,1150,2300,1,3,6,0,1,0,1,0,0,0,0,0
16,9,5,5,5,1752,1,1752,3504,2,5,6,4,2,0,1,0,0,0,0,0
11,7,6,4,5,1434,1,2149,3583,1,4,6,5,2,0,1,0,0,0,0,0
21,8,1,4,4,1656,1,1656,3312,2,4,7,0,3,0,1,0,0,0,0,0
17,4,89,3,3,736,1,1452,2188,2,3,8,0,0,0,0,0,0,0,0,1
19,5,41,3,3,955,1,955,1910,1,3,6,0,1,0,1,0,0,0,0,0
8,6,10,3,4,794,1,1470,2264,2,3,6,0,2,0,1,0,0,0,0,0
3,6,72,3,3,816,1,1176,1992,1,3,6,4,2,0,0,0,0,0,1,0
9,5,47,2,4,816,0,816,1632,1,3,5,0,2,0,0,0,0,1,0,0
24,9,25,4,5,1842,1,1842,3684,0,4,5,4,3,0,1,0,0,0,0,0
12,5,52,3,3,384,1,1360,1744,1,3,6,3,2,0,0,0,0,0,1,0
12,6,44,3,3,1425,1,1425,2850,2,3,7,4,2,0,1,0,0,0,0,0
21,8,10,4,4,970,1,1739,2709,2,4,7,0,2,0,1,0,0,0,0,0
5,7,2,4,4,860,1,1720,2580,2,4,7,0,2,0,1,0,0,0,0,0
22,10,0,5,5,1410,1,2945,4355,3,4,10,4,3,0,0,0,1,0,0,0
5,5,36,3,3,780,1,780,1560,1,3,4,0,1,0,0,0,0,0,1,0
20,6,2,3,4,1158,1,1158,2316,1,4,5,0,2,0,0,0,0,0,1,0
9,5,87,3,3,530,0,1111,1641,1,2,6,0,1,0,0,0,0,0,1,0
16,8,1,4,4,1370,1,1370,2740,2,4,6,4,2,0,1,0,0,0,0,0
17,7,89,3,3,576,1,1710,2286,2,3,9,0,2,0,0,0,0,0,1,0
5,7,12,3,4,1057,1,2034,3091,2,4,8,0,2,0,1,0,0,0,0,0
16,8,3,4,5,1143,1,2473,3616,2,4,9,4,3,0,0,0,1,0,0,0
12,7,40,3,4,1947,1,2207,4154,2,3,7,4,2,0,1,0,0,0,0,0
5,7,4,4,4,1453,1,1479,2932,2,4,7,0,2,0,1,0,0,0,0,0
17,4,65,3,3,747,1,747,1494,1,3,4,0,1,0,1,0,0,0,0,0
4,7,53,4,3,1304,1,2287,3591,2,3,7,3,2,0,1,0,0,0,0,0
12,7,34,3,4,2223,1,2223,4446,2,3,8,4,2,0,1,0,0,0,0,0
11,4,25,3,3,845,1,845,1690,1,3,4,0,2,0,0,0,0,0,1,0
8,7,11,3,4,832,1,1718,2550,2,3,7,3,2,0,1,0,0,0,0,0
12,5,56,3,3,1086,1,1086,2172,1,3,6,0,2,0,1,0,0,0,0,0
17,3,95,4,2,840,0,1605,2445,2,3,8,0,1,0,0,0,0,0,1,0
10,4,36,3,4,462,1,988,1450,1,3,5,0,1,0,0,0,1,0,0,0
12,4,52,3,3,952,1,952,1904,1,3,4,0,1,0,0,0,0,0,1,0
3,5,60,3,3,672,1,1285,1957,1,3,6,0,1,0,0,0,0,0,1,0
19,4,42,3,3,1768,0,1768,3536,2,3,8,0,0,0,0,0,0,0,0,1
17,5,99,3,3,440,1,1230,1670,1,3,5,0,2,0,0,0,0,0,1,0
12,6,41,3,4,896,1,2142,3038,2,4,8,4,1,0,1,0,0,0,0,0
11,6,8,3,5,1237,1,1337,2574,2,3,5,0,2,0,1,0,0,0,0,0
21,8,1,3,4,1563,1,1563,3126,2,4,6,4,3,0,1,0,0,0,0,0
12,5,47,3,3,1065,1,1065,2130,1,3,6,0,2,0,0,0,0,0,1,0
8,7,14,3,4,384,1,1474,1858,2,3,7,3,2,0,0,0,1,0,0,0
15,8,15,4,4,1288,1,2417,3705,2,4,9,3,2,0,1,0,0,0,0,0
8,6,4,4,4,684,1,1560,2244,2,4,6,4,2,0,0,0,1,0,0,0
21,6,0,4,4,612,1,1224,1836,2,4,4,0,2,0,0,0,0,0,1,0
9,3,94,2,3,1013,0,1526,2539,1,2,6,0,0,0,0,0,0,0,0,1
5,4,13,3,4,990,1,990,1980,1,3,5,0,0,0,0,0,0,0,0,1
12,4,56,3,0,0,1,1040,1040,1,3,4,0,2,0,0,0,0,0,1,0
12,5,45,3,3,1235,1,1235,2470,1,3,6,0,2,0,1,0,0,0,0,0
6,5,88,3,4,876,1,964,1840,1,3,5,0,2,0,0,0,0,0,1,0
17,6,97,3,3,1214,0,2291,3505,2,3,9,4,2,0,0,0,0,0,1,0
5,6,10,3,4,824,1,1786,2610,2,4,7,0,2,0,1,0,0,0,0,0
8,6,16,5,4,680,1,1470,2150,2,3,6,3,2,0,0,0,1,0,0,0
5,7,7,4,4,1588,1,1588,3176,2,4,6,0,2,0,1,0,0,0,0,0
7,4,42,3,3,960,1,960,1920,1,3,6,0,1,0,1,0,0,0,0,0
7,5,90,3,3,458,0,835,1293,1,3,5,0,1,0,0,1,0,0,0,0
12,4,51,3,3,950,1,1225,2175,1,3,6,0,0,0,0,0,0,0,0,1
14,6,33,3,3,1610,1,1610,3220,2,4,6,3,2,0,1,0,0,0,0,0
20,6,25,4,4,741,1,1732,2473,2,4,7,3,2,0,1,0,0,0,0,0
20,5,30,3,0,0,1,1535,1535,2,3,8,0,2,0,1,0,0,0,0,0
5,7,1,3,4,1226,1,1226,2452,2,4,6,0,3,0,1,0,0,0,0,0
9,7,76,3,3,1040,1,1818,2858,1,3,7,3,1,0,0,0,0,0,1,0
21,8,5,4,5,1053,1,1992,3045,2,4,9,4,2,0,1,0,0,0,0,0
17,4,122,3,2,641,1,1047,1688,1,3,6,0,1,0,0,0,0,0,1,0
17,5,60,3,3,789,1,789,1578,1,3,5,0,1,0,0,0,0,0,1,0
9,5,88,3,3,793,0,1517,2310,2,2,7,0,0,0,0,0,0,0,0,1
14,6,33,3,4,1844,1,1844,3688,2,3,7,3,2,0,1,0,0,0,0,0
7,6,52,3,3,994,1,1855,2849,2,3,7,0,1,0,1,0,0,0,0,0
8,7,10,3,4,384,1,1430,1814,2,3,7,3,2,0,0,0,1,0,0,0
5,7,0,4,5,1264,1,2696,3960,2,5,10,4,3,0,0,0,1,0,0,0
6,6,54,3,4,1809,1,2259,4068,2,4,7,4,2,0,0,1,0,0,0,0
6,6,62,3,3,1028,1,2320,3348,2,4,9,3,1,0,0,0,0,0,1,0
21,6,8,3,4,729,1,1458,2187,2,3,5,2,2,0,0,0,0,0,1,0
19,5,47,3,3,1092,1,1092,2184,1,3,6,1,1,0,1,0,0,0,0,0
7,5,1,3,4,1125,1,1125,2250,1,3,5,0,2,0,1,0,0,0,0,0
20,7,20,3,4,1673,1,3222,4895,3,4,11,3,3,0,1,0,0,0,0,0
5,6,1,4,4,728,1,1456,2184,2,4,8,4,2,0,1,0,0,0,0,0
4,6,37,3,3,938,1,988,1926,1,3,4,3,2,0,1,0,0,0,0,0
9,4,68,3,3,732,1,1123,1855,1,3,4,0,1,0,0,0,0,0,1,0
12,6,50,3,3,1080,1,1080,2160,1,3,5,0,1,0,1,0,0,0,0,0
20,6,15,4,4,1199,1,1199,2398,2,4,5,0,2,0,1,0,0,0,0,0
14,6,30,3,4,1362,1,1586,2948,2,3,7,3,2,0,1,0,0,0,0,0
9,6,71,3,3,520,0,754,1274,1,3,5,0,0,0,0,0,0,0,0,1
13,6,31,3,4,1078,1,958,2036,2,3,5,3,2,0,1,0,0,0,0,0
17,5,77,3,3,672,1,840,1512,1,3,5,3,0,0,0,0,0,0,0,1
12,6,40,3,3,660,1,1348,2008,1,3,6,2,2,0,1,0,0,0,0,0
12,5,48,3,3,1008,1,1053,2061,1,5,6,0,2,1,0,0,0,0,0,0
12,7,40,3,3,924,1,2157,3081,2,4,8,4,2,0,1,0,0,0,0,0
8,6,9,4,4,992,1,2054,3046,2,4,7,3,2,0,0,0,1,0,0,0
12,5,48,3,3,1063,1,1327,2390,1,4,7,0,2,0,0,0,0,0,1,0
23,8,8,4,5,1267,1,1296,2563,2,4,6,0,2,0,1,0,0,0,0,0
19,5,38,3,3,1461,1,1721,3182,2,3,7,3,2,0,1,0,0,0,0,0
14,7,38,3,3,1304,1,1682,2986,2,3,7,4,2,0,1,0,0,0,0,0
12,5,40,3,3,1214,1,1214,2428,2,3,5,2,1,0,1,0,0,0,0,0
11,7,18,3,3,1907,1,1959,3866,3,3,9,0,3,1,0,0,0,0,0,0
5,8,9,4,4,1004,1,1852,2856,2,4,7,3,3,0,1,0,0,0,0,0
5,6,12,3,4,928,1,1764,2692,2,4,7,0,2,0,1,0,0,0,0,0
12,4,39,3,3,864,1,864,1728,1,3,5,1,0,0,0,0,0,0,0,1
5,7,1,4,4,1734,1,1734,3468,2,4,7,0,2,0,1,0,0,0,0,0
12,5,58,3,3,910,1,1385,2295,2,3,6,0,2,0,0,0,0,0,1,0
5,7,10,4,4,1490,1,1501,2991,2,4,6,0,2,0,1,0,0,0,0,0
19,5,43,3,3,1728,1,1728,3456,2,3,10,0,2,0,0,0,0,0,1,0
7,6,2,4,4,970,1,1709,2679,2,4,7,0,2,0,0,0,0,0,1,0
3,5,78,3,3,715,1,875,1590,1,3,5,0,1,0,0,0,0,0,1,0
8,7,9,4,4,884,1,2035,2919,2,4,8,4,2,0,0,0,1,0,0,0
20,7,4,3,4,1080,1,1080,2160,1,4,6,0,0,0,0,0,0,0,0,1
3,5,70,3,4,896,1,1344,2240,1,3,7,0,1,0,0,0,0,0,1,0
5,5,32,3,3,969,1,969,1938,1,3,5,0,2,0,1,0,0,0,0,0
16,8,1,4,5,1710,1,1710,3420,2,4,6,4,3,0,1,0,0,0,0,0
14,6,35,3,3,825,1,1993,2818,2,3,8,4,2,0,1,0,0,0,0,0
4,6,48,3,4,1602,1,1252,2854,1,3,4,4,2,0,1,0,0,0,0,0
17,6,83,3,3,1200,1,1200,2400,1,3,7,0,1,0,0,0,0,0,1,0
7,6,84,3,3,572,0,1096,1668,1,3,5,0,0,0,0,0,0,0,0,1
12,5,56,3,0,0,1,1040,1040,1,3,5,0,2,0,0,0,0,0,1,0
23,8,1,4,5,774,1,1968,2742,2,5,8,4,3,0,0,0,1,0,0,0
21,7,6,4,4,991,1,1947,2938,2,4,8,4,2,0,1,0,0,0,0,0
8,7,1,4,4,1392,1,2462,3854,2,4,9,4,2,0,1,0,0,0,0,0
24,6,24,3,4,1232,1,1232,2464,2,3,6,0,2,0,1,0,0,0,0,0
16,9,5,4,5,1572,1,2668,4240,2,5,10,4,3,0,0,0,1,0,0,0
16,7,5,4,4,1541,1,1541,3082,2,4,7,4,2,0,1,0,0,0,0,0
17,4,51,3,3,882,1,882,1764,1,3,4,0,0,0,0,0,0,0,0,1
17,6,81,3,3,1149,1,1616,2765,2,4,5,0,1,0,0,0,0,0,1,0
7,5,68,3,3,644,1,1355,1999,2,3,6,0,0,0,0,0,0,0,0,1
4,5,54,4,3,1617,1,1867,3484,1,3,7,4,1,0,1,0,0,0,0,0
16,8,0,4,5,1582,1,2161,3743,1,5,8,4,3,0,1,0,0,0,0,0
8,7,3,4,4,840,1,1720,2560,2,4,7,4,2,0,1,0,0,0,0,0
23,8,25,4,4,1686,1,1707,3393,2,3,6,3,2,0,1,0,0,0,0,0
17,5,66,3,3,720,1,1382,2102,1,3,7,0,2,0,0,0,0,0,1,0
12,6,50,3,3,1080,1,1656,2736,1,3,7,4,2,0,1,0,0,0,0,0
22,7,19,4,4,1064,1,1767,2831,2,4,5,3,2,0,1,0,0,0,0,0
12,6,47,3,3,1362,1,1362,2724,1,3,6,3,2,0,1,0,0,0,0,0
23,6,22,3,4,1606,1,1651,3257,2,3,7,3,2,0,1,0,0,0,0,0
7,6,57,3,3,1202,1,2158,3360,2,4,7,4,2,0,1,0,0,0,0,0
4,6,19,4,4,1151,1,2060,3211,2,3,8,3,2,0,1,0,0,0,0,0
19,5,48,4,3,1052,1,1920,2972,2,4,8,4,2,0,1,0,0,0,0,0
22,9,1,5,5,2216,1,2234,4450,2,5,9,4,3,0,1,0,0,0,0,0
17,5,84,4,3,968,1,968,1936,1,3,5,0,2,0,0,0,0,0,1,0
21,6,7,4,4,756,1,1525,2281,2,4,5,3,2,0,0,0,0,0,1,0
6,7,86,3,2,793,1,1802,2595,1,3,9,4,1,0,0,0,0,0,1,0
7,5,50,3,0,0,1,1340,1340,1,3,7,4,1,0,1,0,0,0,0,0
17,7,5,3,4,1362,1,2082,3444,2,4,6,0,2,0,0,0,0,0,1,0
3,5,98,3,2,504,1,1252,1756,1,3,5,0,2,0,1,0,0,0,0,0
17,10,114,4,3,1107,1,3608,4715,2,5,12,3,3,0,0,0,0,0,1,0
11,7,19,3,4,1188,1,1217,2405,2,4,6,0,2,0,1,0,0,0,0,0
17,5,93,3,2,660,1,1656,2316,2,3,8,0,1,0,0,0,0,0,1,0
20,5,30,3,4,1086,1,1224,2310,0,3,6,3,2,0,0,0,0,0,1,0
22,8,7,4,5,1593,1,1593,3186,1,5,5,4,2,0,1,0,0,0,0,0
6,8,75,4,4,853,1,2727,3580,2,4,10,3,2,0,0,0,0,0,1,0
12,7,35,3,3,725,1,1479,2204,1,4,7,0,2,0,1,0,0,0,0,0
5,7,10,4,4,1431,1,1431,2862,2,4,6,0,2,0,1,0,0,0,0,0
7,7,2,4,4,970,1,1709,2679,2,4,7,0,2,0,0,0,0,0,1,0
5,5,36,3,3,864,1,864,1728,1,3,5,0,1,0,0,0,0,0,1,0
13,6,33,3,4,855,1,1456,2311,2,3,7,3,2,0,1,0,0,0,0,0
21,7,0,5,5,1726,1,1726,3452,2,5,8,4,3,0,1,0,0,0,0,0
12,8,88,4,3,1360,1,3112,4472,2,4,8,5,2,0,0,0,0,0,1,0
17,6,97,3,3,755,1,2229,2984,1,3,8,0,0,0,0,0,0,0,0,1
16,8,5,4,5,1713,1,1713,3426,2,5,7,4,3,0,1,0,0,0,0,0
7,4,7,3,4,1121,1,1121,2242,2,3,5,0,2,0,1,0,0,0,0,0
11,6,31,3,3,1196,1,1279,2475,2,3,6,2,2,0,0,0,0,0,1,0
17,6,82,3,2,617,1,1310,1927,2,3,6,0,1,0,1,0,0,0,0,0
5,6,4,4,4,848,1,848,1696,1,4,3,4,2,0,1,0,0,0,0,0
17,5,62,3,3,720,1,1284,2004,1,3,5,0,1,0,0,0,0,0,1,0
8,7,19,3,4,1424,1,1442,2866,2,3,5,0,2,0,1,0,0,0,0,0
19,5,45,3,3,1140,1,1696,2836,1,3,8,3,1,0,1,0,0,0,0,0
12,4,48,3,3,1100,1,1100,2200,1,3,6,1,1,0,1,0,0,0,0,0
20,7,19,4,4,1157,1,2062,3219,2,3,7,4,2,0,1,0,0,0,0,0
12,6,44,3,4,1092,1,1092,2184,1,3,6,0,2,0,1,0,0,0,0,0
7,5,83,3,3,864,0,864,1728,1,3,5,0,0,0,0,0,0,0,0,1
7,6,1,3,4,1212,1,1212,2424,2,4,6,0,2,0,1,0,0,0,0,0
21,7,0,3,4,900,1,1852,2752,2,4,7,3,2,0,1,0,0,0,0,0
5,5,11,3,4,990,1,990,1980,1,3,5,0,2,0,1,0,0,0,0,0
5,6,33,3,4,689,1,1392,2081,1,3,6,0,1,0,1,0,0,0,0,0
12,5,49,3,3,1070,1,1236,2306,1,4,6,2,1,0,1,0,0,0,0,0
5,7,4,4,4,1436,1,1436,2872,2,4,8,0,2,0,1,0,0,0,0,0
17,4,81,3,3,686,0,1328,2014,1,3,8,0,1,0,0,0,0,0,1,0
6,7,69,4,3,798,1,1954,2752,1,4,8,3,2,0,1,0,0,0,0,0
0,7,1,4,4,1248,1,1248,2496,2,4,5,0,2,0,1,0,0,0,0,0
5,7,0,4,4,1498,1,1498,2996,2,4,5,0,2,0,1,0,0,0,0,0
8,6,7,4,4,1010,1,2267,3277,2,4,8,3,2,0,0,0,1,0,0,0
14,6,31,3,4,713,1,1552,2265,2,3,6,3,2,0,1,0,0,0,0,0
12,4,38,3,3,864,1,864,1728,1,3,4,0,2,0,0,0,0,0,1,0
16,10,6,5,5,2392,1,2392,4784,2,5,8,5,3,0,1,0,0,0,0,0
2,5,38,3,3,630,1,1302,1932,2,3,6,0,1,0,0,0,0,0,1,0
15,7,12,4,4,1203,1,2520,3723,2,4,9,3,3,0,1,0,0,0,0,0
2,6,38,3,3,483,1,987,1470,1,3,5,0,1,0,0,0,0,0,1,0
19,5,43,3,3,912,1,912,1824,1,3,5,2,1,0,0,0,0,0,1,0
0,7,4,4,4,1373,1,1555,2928,2,4,7,3,2,0,1,0,0,0,0,0
12,6,51,3,3,1194,1,1194,2388,1,3,6,0,1,0,1,0,0,0,0,0
15,8,14,4,4,1462,1,2794,4256,2,5,9,3,3,0,1,0,0,0,0,0
2,6,34,3,3,483,1,987,1470,1,3,5,1,1,0,1,0,0,0,0,0
5,5,34,3,3,894,1,894,1788,1,3,5,0,1,0,1,0,0,0,0,0
8,6,8,4,4,860,1,1960,2820,2,4,8,3,2,0,0,0,1,0,0,0
2,6,37,3,3,483,1,987,1470,1,3,5,0,1,0,0,0,0,0,1,0
5,7,6,4,4,1414,1,1414,2828,2,4,6,0,2,0,1,0,0,0,0,0
20,7,17,4,4,996,1,1744,2740,2,4,7,0,2,0,1,0,0,0,0,0
16,8,0,5,5,1694,1,1694,3388,2,4,7,0,3,0,1,0,0,0,0,0
7,6,65,3,3,735,1,1487,2222,1,3,7,4,1,0,0,0,0,0,1,0
21,8,2,4,4,1566,1,1566,3132,2,4,7,0,2,0,1,0,0,0,0,0
17,5,62,3,3,686,1,866,1552,1,4,4,0,0,0,0,0,0,0,0,1
17,5,106,3,3,540,0,1440,1980,1,3,6,0,1,0,1,0,0,0,0,0
20,6,29,3,4,626,1,1217,1843,1,3,6,3,1,0,1,0,0,0,0,0
20,7,16,4,4,948,1,2110,3058,2,4,8,2,2,0,1,0,0,0,0,0
14,7,18,3,4,1845,1,1872,3717,2,3,6,3,2,0,1,0,0,0,0,0
17,6,96,3,2,1020,0,1928,2948,2,2,9,0,1,0,0,0,0,0,1,0
12,6,52,3,3,1367,1,1375,2742,1,3,5,3,2,0,1,0,0,0,0,0
5,7,4,4,4,840,1,1668,2508,2,4,8,0,2,0,1,0,0,0,0,0
4,6,49,4,4,1444,1,2144,3588,2,4,7,3,2,0,1,0,0,0,0,0
3,3,70,3,3,728,1,1306,2034,1,2,6,0,0,0,0,0,0,0,0,1
6,8,1,4,4,1573,1,1625,3198,2,4,5,4,2,0,1,0,0,0,0,0
20,6,4,4,4,798,1,1640,2438,2,4,6,0,2,0,1,0,0,0,0,0
12,6,43,3,4,1302,1,1302,2604,2,4,7,0,1,0,1,0,0,0,0,0
12,5,53,3,3,1314,1,1314,2628,1,3,5,0,1,0,1,0,0,0,0,0
8,7,7,4,4,975,1,2291,3266,2,4,8,3,2,0,0,0,1,0,0,0
21,6,5,4,4,864,1,1728,2592,2,4,7,0,2,0,1,0,0,0,0,0
5,7,3,4,4,1604,1,1604,3208,2,4,8,4,2,0,1,0,0,0,0,0
5,7,7,4,4,963,1,1792,2755,2,4,7,3,2,0,1,0,0,0,0,0
17,5,52,3,0,0,1,882,882,1,3,4,0,1,0,0,0,0,0,1,0
12,6,47,3,3,1362,1,1382,2744,1,3,6,3,2,0,1,0,0,0,0,0
5,8,0,4,5,1482,1,2574,4056,2,5,10,4,3,0,0,0,1,0,0,0
19,6,29,3,4,506,1,1212,1718,1,3,6,3,2,0,1,0,0,0,0,0
17,5,81,3,3,926,1,1316,2242,1,3,6,0,2,0,0,0,0,0,1,0
17,5,83,3,2,680,0,764,1444,1,3,4,0,2,0,0,0,0,0,1,0
14,6,27,3,4,1422,1,1422,2844,2,4,7,3,2,0,1,0,0,0,0,0
8,6,9,3,4,802,1,1511,2313,2,3,8,3,2,0,1,0,0,0,0,0
18,5,69,3,3,720,1,2192,2912,2,4,8,4,1,0,0,0,0,0,1,0
9,5,68,3,3,740,1,778,1518,1,3,4,4,1,0,0,0,0,0,1,0
7,6,31,3,3,1143,1,1113,2256,1,3,6,2,1,0,1,0,0,0,0,0
21,8,0,4,4,1095,1,1939,3034,2,4,8,4,3,0,1,0,0,0,0,0
4,7,54,3,4,1385,1,1363,2748,1,3,5,3,2,0,1,0,0,0,0,0
15,8,11,4,4,1152,1,2270,3422,2,4,9,4,3,0,1,0,0,0,0,0
12,6,51,3,3,1240,1,1632,2872,2,3,6,4,1,0,1,0,0,0,0,0
11,5,25,3,3,816,1,816,1632,1,3,5,0,1,0,1,0,0,0,0,0
3,7,84,4,3,952,0,1548,2500,2,5,5,0,2,0,0,0,0,0,1,0
11,7,7,4,5,1560,1,1560,3120,2,4,7,0,2,0,1,0,0,0,0,0
8,4,59,3,3,864,1,864,1728,1,3,4,0,2,0,0,0,0,0,1,0
16,9,1,5,5,2121,1,2121,4242,2,5,8,5,3,0,1,0,0,0,0,0
4,7,31,3,4,1160,1,2022,3182,2,3,8,3,2,0,1,0,0,0,0,0
20,7,18,4,4,807,1,1982,2789,2,4,7,3,2,0,1,0,0,0,0,0
21,6,0,4,4,1262,1,1262,2524,2,4,5,0,2,0,1,0,0,0,0,0
16,7,2,4,4,1314,1,1314,2628,2,4,6,4,2,0,1,0,0,0,0,0
21,8,1,4,4,1468,1,1468,2936,2,4,6,4,3,0,1,0,0,0,0,0
20,6,15,4,4,1575,1,1575,3150,2,4,5,0,2,0,1,0,0,0,0,0
21,7,1,4,4,625,1,1250,1875,2,4,5,0,2,0,0,0,0,0,1,0
12,6,44,3,3,912,1,1734,2646,1,4,7,4,2,0,1,0,0,0,0,0
12,4,35,3,3,858,1,858,1716,1,3,5,0,0,0,0,0,0,0,0,1
19,5,43,3,3,882,1,900,1782,1,3,5,0,1,0,0,0,0,0,1,0
3,6,92,3,3,698,1,1396,2094,1,3,7,0,1,0,0,0,0,0,1,0
5,8,0,4,4,1079,1,1919,2998,2,4,8,4,2,0,1,0,0,0,0,0
18,5,96,3,3,780,0,1716,2496,2,2,9,0,0,0,0,0,0,0,0,1
7,5,60,3,3,768,1,1716,2484,1,3,8,4,1,0,1,0,0,0,0,0
14,7,29,3,3,795,1,2263,3058,2,4,9,3,2,0,1,0,0,0,0,0
12,6,56,3,3,1416,1,1644,3060,1,3,7,4,2,0,1,0,0,0,0,0
11,6,22,3,3,1003,1,1003,2006,1,3,6,0,2,0,0,0,0,0,1,0
9,5,57,3,3,910,1,1558,2468,1,3,6,0,1,0,1,0,0,0,0,0
21,7,10,4,4,975,1,1950,2925,2,4,7,3,2,0,0,0,0,0,1,0
14,6,39,4,3,702,1,1743,2445,1,3,7,4,2,0,1,0,0,0,0,0
6,6,59,3,3,1092,1,1152,2244,1,4,6,4,1,0,1,0,0,0,0,0
6,5,53,3,3,1165,1,1336,2501,1,3,5,4,1,0,1,0,0,0,0,0
5,8,9,4,4,1028,1,2452,3480,2,4,9,3,2,0,0,0,1,0,0,0
5,7,5,4,4,1541,1,1541,3082,2,4,6,3,3,0,1,0,0,0,0,0
5,5,34,3,3,894,1,894,1788,1,3,5,0,2,0,1,0,0,0,0,0
17,7,128,3,3,1470,1,3493,4963,3,4,10,5,3,0,1,0,0,0,0,0
5,8,3,4,4,2000,1,2000,4000,2,4,8,0,3,0,1,0,0,0,0,0
20,7,17,4,4,700,1,2243,2943,2,4,8,3,3,0,1,0,0,0,0,0
